bin_start,bin_end,count
0.364,16.875,27524
16.875,32.75,17872
32.75,48.625,12479
48.625,64.5,8696
64.5,80.375,6345
80.375,96.25,4777
96.25,112.125,3833
112.125,128.0,2946
128.0,143.875,2136
143.875,159.75,1964
159.75,175.625,1578
175.625,191.5,1226
191.5,207.375,1021
207.375,223.25,837
223.25,239.125,720
239.125,255.0,593
255.0,270.875,440
270.875,286.75,374
286.75,302.625,348
302.625,318.5,268
318.5,334.375,235
334.375,350.25,223
350.25,366.125,169
366.125,382.0,154
382.0,397.875,122
397.875,413.75,126
413.75,429.625,109
429.625,445.5,80
445.5,461.375,89
461.375,477.25,84
477.25,493.125,147
493.125,509.0,265
509.0,524.875,0
524.875,540.75,1
540.75,556.625,0
556.625,572.5,0
572.5,588.375,0
588.375,604.25,0
604.25,620.125,0
620.125,636.0,1
