final_sentiment,aspect_label,count
Negative,Performance & Stability,1808
Negative,Ads Experience,10564
Negative,Subscription & Pricing,6944
Negative,Features & Content,8392
Negative,Audio Quality,107
Negative,UI/UX,166
Negative,Account/Login,1131
Negative,General,10574
Neutral,Performance & Stability,304
Neutral,Ads Experience,1193
Neutral,Subscription & Pricing,1737
Neutral,Features & Content,4152
Neutral,Audio Quality,75
Neutral,UI/UX,89
Neutral,Account/Login,213
Neutral,General,9866
Positive,Performance & Stability,488
Positive,Ads Experience,4525
Positive,Subscription & Pricing,1982
Positive,Features & Content,9159
Positive,Audio Quality,260
Positive,UI/UX,96
Positive,Account/Login,130
Positive,General,23827
