term,term_type,count,focus_labels,text_column
lagu,unigram,19195,"Negative,Neutral",text_svm
iklan,unigram,15668,"Negative,Neutral",text_svm
premium,unigram,13155,"Negative,Neutral",text_svm
gak,unigram,5509,"Negative,Neutral",text_svm
tolong,unigram,4458,"Negative,Neutral",text_svm
kenapa,unigram,4325,"Negative,Neutral",text_svm
bagus,unigram,4037,"Negative,Neutral",text_svm
malah,unigram,3763,"Negative,Neutral",text_svm
sekarang,unigram,3700,"Negative,Neutral",text_svm
udah,unigram,3696,"Negative,Neutral",text_svm
musik,unigram,3604,"Negative,Neutral",text_svm
padahal,unigram,3427,"Negative,Neutral",text_svm
makin,unigram,3410,"Negative,Neutral",text_svm
lirik,unigram,3216,"Negative,Neutral",text_svm
apk,unigram,3193,"Negative,Neutral",text_svm
iklannya,unigram,3147,"Negative,Neutral",text_svm
kalo,unigram,2979,"Negative,Neutral",text_svm
dengerin,unigram,2964,"Negative,Neutral",text_svm
sih,unigram,2721,"Negative,Neutral",text_svm
lagunya,unigram,2481,"Negative,Neutral",text_svm
lama,unigram,2440,"Negative,Neutral",text_svm
bintang,unigram,2370,"Negative,Neutral",text_svm
kikir,unigram,2283,"Negative,Neutral",text_svm
update,unigram,2203,"Negative,Neutral",text_svm
coba,unigram,2130,"Negative,Neutral",text_svm
bayar,unigram,2110,"Negative,Neutral",text_svm
pas,unigram,2105,"Negative,Neutral",text_svm
sama,unigram,2087,"Negative,Neutral",text_svm
download,unigram,2058,"Negative,Neutral",text_svm
kasih,unigram,2032,"Negative,Neutral",text_svm
putar,unigram,2027,"Negative,Neutral",text_svm
tiba,unigram,2011,"Negative,Neutral",text_svm
suka,unigram,1997,"Negative,Neutral",text_svm
lah,unigram,1968,"Negative,Neutral",text_svm
playlist,unigram,1932,"Negative,Neutral",text_svm
terlalu,unigram,1914,"Negative,Neutral",text_svm
beli,unigram,1870,"Negative,Neutral",text_svm
lain,unigram,1841,"Negative,Neutral",text_svm
masa,unigram,1784,"Negative,Neutral",text_svm
dikit,unigram,1660,"Negative,Neutral",text_svm
udh,unigram,1633,"Negative,Neutral",text_svm
sendiri,unigram,1626,"Negative,Neutral",text_svm
kebanyakan,unigram,1620,"Negative,Neutral",text_svm
gabisa,unigram,1608,"Negative,Neutral",text_svm
bgt,unigram,1600,"Negative,Neutral",text_svm
jelek,unigram,1532,"Negative,Neutral",text_svm
cuma,unigram,1504,"Negative,Neutral",text_svm
kali,unigram,1502,"Negative,Neutral",text_svm
liriknya,unigram,1493,"Negative,Neutral",text_svm
denger,unigram,1461,"Negative,Neutral",text_svm
dong,unigram,1433,"Negative,Neutral",text_svm
muncul,unigram,1430,"Negative,Neutral",text_svm
sering,unigram,1393,"Negative,Neutral",text_svm
sangat,unigram,1382,"Negative,Neutral",text_svm
kita,unigram,1375,"Negative,Neutral",text_svm
setiap,unigram,1359,"Negative,Neutral",text_svm
perbaiki,unigram,1342,"Negative,Neutral",text_svm
