term,term_type,count,subset,focus_aspect,text_column
bagus,unigram,10288,general,General,text_svm
sangat,unigram,2709,general,General,text_svm
mantap,unigram,1816,general,General,text_svm
suka,unigram,1728,general,General,text_svm
bintang,unigram,1722,general,General,text_svm
good,unigram,1482,general,General,text_svm
coba,unigram,1461,general,General,text_svm
lumayan,unigram,1436,general,General,text_svm
lagunya,unigram,1369,general,General,text_svm
apk,unigram,1265,general,General,text_svm
gak,unigram,1206,general,General,text_svm
kasih,unigram,1182,general,General,text_svm
baguss,unigram,1131,general,General,text_svm
keren,unigram,1023,general,General,text_svm
kenapa,unigram,1002,general,General,text_svm
enak,unigram,974,general,General,text_svm
kikir,unigram,964,general,General,text_svm
sih,unigram,883,general,General,text_svm
liriknya,unigram,826,general,General,text_svm
update,unigram,778,general,General,text_svm
baik,unigram,748,general,General,text_svm
kalo,unigram,746,general,General,text_svm
tolong,unigram,738,general,General,text_svm
jelek,unigram,688,general,General,text_svm
makin,unigram,673,general,General,text_svm
lah,unigram,628,general,General,text_svm
the,unigram,601,general,General,text_svm
kurang,unigram,596,general,General,text_svm
bgt,unigram,587,general,General,text_svm
padahal,unigram,583,general,General,text_svm
music,unigram,582,general,General,text_svm
udah,unigram,570,general,General,text_svm
sekali,unigram,546,general,General,text_svm
klo,unigram,537,general,General,text_svm
oke,unigram,536,general,General,text_svm
dlu,unigram,534,general,General,text_svm
offline,unigram,517,general,General,text_svm
seru,unigram,506,general,General,text_svm
aplikasinya,unigram,502,general,General,text_svm
sekarang,unigram,496,general,General,text_svm
bgus,unigram,479,general,General,text_svm
cukup,unigram,470,general,General,text_svm
tambah,unigram,464,general,General,text_svm
sama,unigram,443,general,General,text_svm
lama,unigram,411,general,General,text_svm
lengkap,unigram,383,general,General,text_svm
bangett,unigram,371,general,General,text_svm
buka,unigram,363,general,General,text_svm
malah,unigram,363,general,General,text_svm
pas,unigram,355,general,General,text_svm
app,unigram,355,general,General,text_svm
sendiri,unigram,353,general,General,text_svm
deh,unigram,336,general,General,text_svm
gabisa,unigram,326,general,General,text_svm
sering,unigram,317,general,General,text_svm
nice,unigram,313,general,General,text_svm
tiba,unigram,311,general,General,text_svm
nanti,unigram,307,general,General,text_svm
cocok,unigram,306,general,General,text_svm
selalu,unigram,302,general,General,text_svm
tau,unigram,302,general,General,text_svm
mati,unigram,300,general,General,text_svm
musiknya,unigram,292,general,General,text_svm
main,unigram,287,general,General,text_svm
best,unigram,275,general,General,text_svm
menghibur,unigram,273,general,General,text_svm
tiga,unigram,272,general,General,text_svm
boikot,unigram,271,general,General,text_svm
yaa,unigram,269,general,General,text_svm
dong,unigram,266,general,General,text_svm
asik,unigram,265,general,General,text_svm
karna,unigram,261,general,General,text_svm
kadang,unigram,258,general,General,text_svm
dengerin,unigram,254,general,General,text_svm
lain,unigram,250,general,General,text_svm
udh,unigram,246,general,General,text_svm
cuma,unigram,245,general,General,text_svm
bikin,unigram,245,general,General,text_svm
perbaiki,unigram,244,general,General,text_svm
pokoknya,unigram,243,general,General,text_svm
susah,unigram,241,general,General,text_svm
belum,unigram,232,general,General,text_svm
hari,unigram,230,general,General,text_svm
tambahin,unigram,228,general,General,text_svm
dah,unigram,226,general,General,text_svm
gua,unigram,223,general,General,text_svm
data,unigram,220,general,General,text_svm
pelit,unigram,217,general,General,text_svm
putar,unigram,217,general,General,text_svm
memuaskan,unigram,217,general,General,text_svm
membantu,unigram,215,general,General,text_svm
puas,unigram,214,general,General,text_svm
gitu,unigram,213,general,General,text_svm
game,unigram,212,general,General,text_svm
nyoba,unigram,212,general,General,text_svm
share,unigram,212,general,General,text_svm
semoga,unigram,211,general,General,text_svm
jelas,unigram,207,general,General,text_svm
gimana,unigram,206,general,General,text_svm
knp,unigram,206,general,General,text_svm
sangat bagus,bigram,1076,general,General,text_svm
kasih bintang,bigram,641,general,General,text_svm
lumayan bagus,bigram,272,general,General,text_svm
bagus sekali,bigram,256,general,General,text_svm
bagus sih,bigram,229,general,General,text_svm
kalo bagus,bigram,189,general,General,text_svm
the best,bigram,163,general,General,text_svm
klo bagus,bigram,155,general,General,text_svm
cukup bagus,bigram,152,general,General,text_svm
bagus tambah,bigram,147,general,General,text_svm
apk bagus,bigram,144,general,General,text_svm
main game,bigram,142,general,General,text_svm
mati sendiri,bigram,140,general,General,text_svm
bagus suka,bigram,140,general,General,text_svm
bagus bgt,bigram,139,general,General,text_svm
coba dlu,bigram,138,general,General,text_svm
tiba tiba,bigram,137,general,General,text_svm
lumayan lah,bigram,133,general,General,text_svm
sangat membantu,bigram,133,general,General,text_svm
sangat baik,bigram,131,general,General,text_svm
tolong perbaiki,bigram,125,general,General,text_svm
apk kikir,bigram,119,general,General,text_svm
aplikasinya bagus,bigram,116,general,General,text_svm
sangat suka,bigram,115,general,General,text_svm
kasi bintang,bigram,107,general,General,text_svm
makin kikir,bigram,104,general,General,text_svm
baguss bangett,bigram,101,general,General,text_svm
terima kasih,bigram,100,general,General,text_svm
sangat baguss,bigram,99,general,General,text_svm
sangat menghibur,bigram,99,general,General,text_svm
bagus bagus,bigram,99,general,General,text_svm
enak dengar,bigram,98,general,General,text_svm
bagus kasih,bigram,98,general,General,text_svm
bagus lagunya,bigram,94,general,General,text_svm
bintang dlu,bigram,94,general,General,text_svm
kurang lengkap,bigram,93,general,General,text_svm
bagus bangett,bigram,91,general,General,text_svm
bagus tambahin,bigram,90,general,General,text_svm
setelah update,bigram,89,general,General,text_svm
tambah bintang,bigram,86,general,General,text_svm
lagunya bagus,bigram,84,general,General,text_svm
tolong diperbaiki,bigram,84,general,General,text_svm
sangat cocok,bigram,81,general,General,text_svm
tolong dong,bigram,75,general,General,text_svm
