external_id,rating,content,text_indobert,text_indobert_slang,initial_sentiment,final_sentiment,true_label,predicted_label,prob_negative,prob_neutral,prob_positive,confidence
eb77a42b-c904-4bed-b8bf-71083b5893ec,3,Ok,Ok,oke,Neutral,Neutral,Neutral,Positive,0.06055083,0.46894753,0.47050166,0.47050166
2d86d77f-b6ee-4aee-8c31-1858b9f13677,4,"Aku gk bisa kasih 5 bintang karena,sering bngt spotify maksain untuk permium,jadi itu aja,mksh( *・ω・)ノ","Aku gk bisa kasih 5 bintang karena,sering bngt spotify maksain untuk permium,jadi itu aja,mksh( *・ω・)ノ","saya tidak bisa memberi bintang lima karena,sering banget spotify maksain untuk permium,jadi itu saja,terima kasih( *・ω・)ノ",Positive,Positive,Positive,Negative,0.6214847,0.1706827,0.20783263,0.6214847
e9a9d8c7-403b-4c07-8bbb-fc09ed8fa2ec,3,"saya kasih 3 bintang Karena beberapa alasan, aplikasi mudah dari segi tampilan, knpa harus putar acak, lalu yg lebih parahnya lagi gk ada liriknya sih gk kaya sebelah😂 udh gtu aja, pokoknya tingkatkan lagi!!! klo bsa update untuk bsa ada liriknya 🙏","saya kasih 3 bintang Karena beberapa alasan, aplikasi mudah dari segi tampilan, knpa harus putar acak, lalu yg lebih parahnya lagi gk ada liriknya sih gk kaya sebelah😂 udh gtu aja, pokoknya tingkatkan lagi!!! klo bsa update untuk bsa ada liriknya 🙏","saya memberi 3 bintang Karena beberapa alasan, aplikasi mudah dari segi tampilan, knpa harus putar acak, lalu yang lebih parahnya lagi tidak ada liriknya sih tidak kaya sebelah😂 sudah gtu saja, pokoknya tingkatkan lagi!!! kalau bisa terbaru untuk bisa ada liriknya 🙏",Neutral,Positive,Positive,Neutral,0.029163085,0.64762664,0.32321027,0.64762664
3e23b123-2700-47c6-9325-65dbc910195f,5,Fans NDX A.K.A Paling Setiaa Nih Gw :P,Fans NDX A.K.A Paling Setiaa Nih Gw :P,Fans NDX A.K.A Paling Setiaa ini saya :P,Positive,Positive,Positive,Neutral,0.23959605,0.4695104,0.29089352,0.4695104
d4c70bcb-8f1b-4a6e-9f1d-355c0abde959,1,Eh laso. Kak Gery bilang harusnya ko taro kasih tunjuk itu lirik pas dipencet lagu na tlso. Mana kak Gery tau KLO harus di scroll itu ke bawah liriknya,Eh laso. Kak Gery bilang harusnya ko taro kasih tunjuk itu lirik pas dipencet lagu na tlso. Mana kak Gery tau KLO harus di scroll itu ke bawah liriknya,Eh laso. Kak Gery berkata seharusnya kok taro memberi tunjuk itu lirik pas dipencet lagu na tlso. dimana kak Gery tau kalau harus di menggulir itu ke bawah liriknya,Negative,Negative,Negative,Neutral,0.15985869,0.78128564,0.05885564,0.78128564
45e1f66b-ee0e-4b07-b10f-bcc56ae69a88,3,Oke bangret,Oke bangret,Oke bangret,Neutral,Neutral,Neutral,Negative,0.541786,0.33526456,0.12294937,0.541786
8a5d6e2f-967a-4ae5-b0f9-a09f60daf191,3,sekali ganti lagu pasti iklan ny lama banyakkk lgi minimal yh 1 atau yh di gk ada in ke ini mh 3 sampe 4 mh. iy kalo abis iklan banyak ya udh lancar lah sampee 5 atau 6 ke ini mh iklan 4 lagu ny 2 sampe 3 dnggg idihh. satu lagu kenapa lagu where we are kgk ada siballl,sekali ganti lagu pasti iklan ny lama banyakkk lgi minimal yh 1 atau yh di gk ada in ke ini mh 3 sampe 4 mh. iy kalo abis iklan banyak ya udh lancar lah sampee 5 atau 6 ke ini mh iklan 4 lagu ny 2 sampe 3 dnggg idihh. satu lagu kenapa lagu where we are kgk ada siballl,sekali ganti lagu pasti iklan ny lama banyakkk lagi minimal yh 1 atau yh di tidak ada in ke ini mh 3 sampai 4 mh. iy kalau habis iklan banyak ya sudah lancar lah sampee 5 atau 6 ke ini mh iklan 4 lagu ny 2 sampai 3 dnggg idihh. satu lagu kenapa lagu where we are tidak ada siballl,Neutral,Neutral,Neutral,Negative,0.93496,0.022164961,0.04287496,0.93496
bc718e5e-0f19-4188-922d-16bb45621a03,3,Aplikasi bagus haha !!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!$$@@!!!!!!!!,Aplikasi bagus haha !!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!$$@@!!!!!!!!,Aplikasi bagus tertawa !!!!!!!!!!¡!!!!!!!!!!!!!!!!!!!!!!$$@@!!!!!!!!,Neutral,Positive,Positive,Neutral,0.3394455,0.36868122,0.29187328,0.36868122
216a095e-f368-4300-b5f9-b32dc1f1413a,5,not bed,not bed,not bed,Positive,Positive,Positive,Negative,0.6019451,0.36548907,0.032565847,0.6019451
c23da5ad-6913-41db-ba1d-c877527265b1,3,sebenernya ini bgs si tpi knp harus ad batasan untuk memilih lagu? jika sudah beberapa kali maka lagu akan otomatis terpilih dari spotify lngsng jadi ak ga trlalu suka krna dibatasin jadi ak ga bebas buat ndengar lagu yang ak inginkan jadi semoga tidak ad batasan untuk memilih lagu jika sudah tidak ad batasan saya akan memberi bintang 5,sebenernya ini bgs si tpi knp harus ad batasan untuk memilih lagu? jika sudah beberapa kali maka lagu akan otomatis terpilih dari spotify lngsng jadi ak ga trlalu suka krna dibatasin jadi ak ga bebas buat ndengar lagu yang ak inginkan jadi semoga tidak ad batasan untuk memilih lagu jika sudah tidak ad batasan saya akan memberi bintang 5,sebenernya ini bagus si tapi kenapa harus iklan batasan untuk memilih lagu? jika sudah beberapa kali maka lagu akan otomatis terpilih dari spotify langsung jadi saya tidak trlalu suka karena dibatasin jadi saya tidak bebas buat ndengar lagu yang saya inginkan jadi semoga tidak iklan batasan untuk memilih lagu jika sudah tidak iklan batasan saya akan memberi bintang lima,Neutral,Neutral,Neutral,Positive,0.10091556,0.31452087,0.5845636,0.5845636
b9021469-d8f8-4f0c-898a-a02f9e2a157b,3,Asik,Asik,menyenangkan,Neutral,Neutral,Neutral,Positive,0.04302244,0.2788949,0.67808264,0.67808264
26fc3052-7445-44c9-bc72-62f2dfeba209,3,"Sedih deh, apa-apa harus premium","Sedih deh, apa-apa harus premium","Sedih sudah, apa-apa harus premium",Neutral,Neutral,Neutral,Negative,0.87216914,0.10541684,0.022414012,0.87216914
856543f9-1f99-4e8b-82b9-319f904df098,4,Mayan apknya,Mayan apknya,Mayan apknya,Positive,Positive,Positive,Negative,0.42737845,0.27168727,0.30093426,0.42737845
8cf94e57-0eb5-482a-a6cc-5fd220b3a036,3,Aneh,Aneh,Aneh,Neutral,Neutral,Neutral,Positive,0.15136658,0.41677466,0.43185872,0.43185872
962b3a31-fdcc-473d-ac54-956ab60bfb09,3,Kok jadi susah mutarin lagunya sih.. padahal dulu suka sama spotify tapi kok gini jadi malah kecewa.. ;( kan jadi males dengerin disini lagi.. ;(,Kok jadi susah mutarin lagunya sih.. padahal dulu suka sama spotify tapi kok gini jadi malah kecewa.. ;( kan jadi males dengerin disini lagi.. ;(,Kok jadi sulit mutarin lagunya sih.. padahal dulu suka sama spotify tetapi kok gini jadi malahan kecewa.. ;( kan jadi malas mendengar disini lagi.. ;(,Neutral,Neutral,Neutral,Negative,0.88655907,0.08878436,0.024656603,0.88655907
