split,external_id,rating,final_sentiment,text_indobert,text_indobert_slang
train,9f20c87b-1f63-427e-a4f1-cc31df5002ef,5,Positive,asik banget,menyenangkan banget
train,669d14ee-7df0-4b45-8857-88d9e3db7551,4,Positive,Bgus,bagus
train,8ffa29bc-6faa-4df0-a125-09de6990d40e,4,Positive,apk nya baguss bangett,aplikasi nya bagus banget
train,b6ca7797-623b-4550-860a-64011ce4c9cf,1,Negative,apalah sekarang apa2 harus premium sampe mau putar lagu yg kita pilih aja harus premium ga masuk akal banget tolong lah masa pencet lagu yg mau kita putar harus premium juga tolong di pikir2 dlu,apalah sekarang apa saja harus premium sampai ingin memutar lagu yang kita pilih saja harus premium tidak masuk akal banget tolong lah masa klik lagu yang ingin kita putar harus premium juga tolong di pikir2 dulu
train,92180e8c-9e14-4b4a-ac0b-248f32f44372,3,Neutral,Make it payable via phone deposit,memakai it payable via phone deposit
train,3dd3cd4d-77a6-4aa6-a3b6-c556d407af26,2,Negative,Kenapa ya saya mau share musik di instastory gabisa? Padahal biasanya bisa kok cuma bisa share dm aja to gabisa di instastry,Kenapa ya saya ingin bagikan musik di instastory tidak bisa? Padahal biasanya bisa kok cuma bisa bagikan pesan langsung saja to tidak bisa di instastry
train,e784649d-7430-499b-b57a-3dec8f756f1b,4,Positive,"semua fitur spotify bagus,cuman banyak iklannya aja,baru denger satu lagu langsung dapet iklannya 4 atau 3.bisa kurangin dikit kah min iklannya jadi 2 atau 1","semua fitur spotify bagus,cuman banyak iklannya saja,baru mendengar satu lagu langsung mendapat iklannya 4 atau 3.bisa kurangin sedikit kah min iklannya jadi 2 atau 1"
train,7e4b67bf-74d2-4450-baac-d87196ca3d4e,4,Positive,bagus sih tapi waktu pilih musiknya sebentar banget kada cuma 2 lagu doang,bagus sih tetapi waktu pilih musiknya sebentar banget kada cuma 2 lagu saja
train,e91993a6-17fc-4773-862c-8efc33d46752,3,Neutral,saya coba dulu..,saya mencoba dulu..
train,dd483065-69a7-4ba5-b19c-c0ed959194fa,5,Positive,sangat baguss sekali bisa di bawa tidur music nyaa,sangat bagus sekali bisa di bawa tidur musik nyaa
