run_label,is_sample,not_final_expert_judgement,comparison_id,criterion_a,criterion_b,ahp_value_a_over_b,respondent_count,aggregation_method
sample_development_only,True,True,P01,"Features, Content & Audio Experience",App Reliability & Usability,0.3333333333333333,1,geometric_mean
sample_development_only,True,True,P02,"Features, Content & Audio Experience",Ads Experience,3.0000000000000004,1,geometric_mean
sample_development_only,True,True,P03,"Features, Content & Audio Experience",Subscription & Pricing,1.0,1,geometric_mean
sample_development_only,True,True,P04,"Features, Content & Audio Experience",Account/Login,3.0000000000000004,1,geometric_mean
sample_development_only,True,True,P05,App Reliability & Usability,Ads Experience,9.000000000000002,1,geometric_mean
sample_development_only,True,True,P06,App Reliability & Usability,Subscription & Pricing,3.0000000000000004,1,geometric_mean
sample_development_only,True,True,P07,App Reliability & Usability,Account/Login,9.000000000000002,1,geometric_mean
sample_development_only,True,True,P08,Ads Experience,Subscription & Pricing,0.3333333333333333,1,geometric_mean
sample_development_only,True,True,P09,Ads Experience,Account/Login,1.0,1,geometric_mean
sample_development_only,True,True,P10,Subscription & Pricing,Account/Login,3.0000000000000004,1,geometric_mean
